,city,state
249,Williamsburg,Pennsylvania
250,Robbinsdale,Minnesota
251,Sappington,Missouri
252,Duarte,California
253,Hilton Head Island,South Carolina
254,Palmer Ranch,Florida
255,Pumphrey,Maryland
256,Branchville,New Jersey
257,Norton Shores,Michigan
258,Loves Park,Illinois
259,Yardley,Pennsylvania
260,Utica,Nebraska
261,Dudley,Massachusetts
262,Hallandale Beach,Florida
263,Canal Fulton,Ohio
264,Quitman,Georgia
265,Amherst Town,Massachusetts
266,Bloomer,Wisconsin
267,Agawam,Massachusetts
268,Duncanville,Texas
269,Lafayette,Oregon
270,Black Hawk,Colorado
271,Blaine,Minnesota
272,Thousand Palms,California
273,Horicon,Wisconsin
274,Fountainebleau,Florida
275,Kemah,Texas
276,Laurel Park,North Carolina
277,Sun Valley,Idaho
278,Beaumont,California
279,West Seneca,New York
280,Lanai City,Hawaii
281,Pittsfield,Massachusetts
282,Weldona,Colorado
283,Hampton Manor,New York
284,Jeanerette,Louisiana
285,Conroe,Texas
286,Murrieta,California
287,Springfield,New Jersey
288,Wright,Florida
289,Easthampton Town,Massachusetts
290,Alexandria,Ohio
291,Newton,Utah
292,Bailey's Crossroads,Virginia
293,Avoca,Pennsylvania
294,La Selva Beach,California
295,Sandusky,Iowa
296,Punaluu,Hawaii
297,Brookline,Massachusetts
298,Atoka,Tennessee
299,Lucas Valley-Marinwood,California
300,Otis,Massachusetts
301,Aspen Hill,Maryland
302,Mount Hood Village,Oregon
303,Lake Park,Florida
304,Lenox,New York
305,DeCordova,Texas
306,White City,Oregon
307,Bristol,Virginia
308,Madrid,Iowa
309,Barnstable Town,Massachusetts
310,Cottonwood Falls,Kansas
311,McKinley,Pennsylvania
312,Deerfield,Wisconsin
313,Wickerham Manor-Fisher,Pennsylvania
314,Ellaville,Georgia
315,Redfield,Texas
316,Stratford,California
317,Volcano,Hawaii
318,Hebron Estates,Kentucky
319,Fort Loudon,Pennsylvania
320,Huntsville,Texas
321,Gardnerville,Nevada
322,Onion Creek,Texas
323,Brookfield,Wisconsin
324,Ruskin,Florida
325,Grandview Heights,Ohio
326,Vilonia,Arkansas
327,Wailua,Hawaii
328,Ellerslie,Maryland
329,Chula Vista,California
330,Vancleave,Mississippi
331,East Stroudsburg,Pennsylvania
332,Campbell,Ohio
333,Tucker,Georgia
334,Lawrenceburg,Indiana
335,Estral Beach,Michigan
336,Wilton,New York
337,Payson,Arizona
338,La Presa,California
339,Northview,Michigan
340,Experiment,Georgia
341,Empire,Michigan
342,Great Neck Plaza,New York
343,Florida City,Florida
344,Bismarck,Arkansas
345,Sandy Springs,Georgia
346,Round Rock,Texas
347,Seven Mile,Ohio
348,Hagerstown,Maryland
349,Goffstown,New Hampshire
350,Prescott Valley,Arizona
351,Remsenburg-Speonk,New York
352,South Elgin,Illinois
353,Paxtonia,Pennsylvania
354,Oak Glen,California
355,McDonald Chapel,Alabama
356,Pemberton,New Jersey
357,Red Feather Lakes,Colorado
358,Seymour,Missouri
359,Derby,Colorado
360,Seaside Park,New Jersey
361,Aldan,Pennsylvania
362,Lennon,Michigan
363,China Grove,North Carolina
364,Fruitville,Florida
365,Stedman,North Carolina
366,Fredonia,Wisconsin
367,Sea Breeze,North Carolina
368,Timberville,Virginia
369,Ocoee,Florida
370,St. Peters,Missouri
371,Pinson,Alabama
372,Sussex,New Jersey
373,East Earl,Pennsylvania
374,McKinney,Texas
375,Mattapoisett,Massachusetts
376,Artondale,Washington
377,Hayfield,Virginia
378,Danville,California
379,Monroe,Michigan
380,Salvo,North Carolina
381,Middletown,Delaware
382,Manor,Pennsylvania
383,Limestone,Illinois
384,Trabuco Canyon,California
385,Carnot-Moon,Pennsylvania
386,Bonadelle Ranchos-Madera Ranchos,California
387,Sycamore,Kentucky
388,Martin's Additions,Maryland
389,Lyndhurst,Ohio
390,Ridgefield,Connecticut
391,Sheatown,Pennsylvania
392,Hallowell,Maine
393,Waimalu,Hawaii
394,Belt,Montana
395,Milton,New Hampshire
396,Rome,Wisconsin
397,Richmond,Illinois
398,Centralia,Illinois
399,Cowarts,Alabama
400,New Ulm,Minnesota
401,Richwood,Texas
402,West University Place,Texas
403,Fernway,Pennsylvania
404,Grafton,Massachusetts
405,Coshocton,Ohio
406,Iowa City,Iowa
407,Turtle Creek,Pennsylvania
408,Grain Valley,Missouri
409,Manchester,Pennsylvania
410,Salem Lakes,Wisconsin
411,Alvord,Texas
412,Leetsdale,Pennsylvania
413,Conway,South Carolina
414,Munster,Indiana
415,Fox River Valley Gardens,Illinois
416,Cinco Ranch,Texas
417,Port St. Lucie,Florida
418,Asbury Park,New Jersey
419,Niantic,Connecticut
420,Mojave,California
421,Gardere,Louisiana
422,Worth,Illinois
423,East Setauket,New York
424,Renton,Washington
425,Oconomowoc,Wisconsin
426,Richmond,California
427,Sunfield,Michigan
428,Van Alstyne,Texas
429,Ashwaubenon,Wisconsin
430,Theresa,Wisconsin
431,Manhattan Beach,California
432,Temple City,California
433,Mountain Plains,South Dakota
434,Fairview,New Jersey
435,Fruitridge Pocket,California
436,Memphis,Michigan
437,Olmos Park,Texas
438,Lake Village,Indiana
439,Agawam Town,Massachusetts
440,Slatington,Pennsylvania
441,Frederick,Maryland
442,Danvers,Massachusetts
443,Morenci,Michigan
444,Olcott,New York
445,White,Georgia
446,Pawling,New York
447,Chatham,Massachusetts
448,Mishicot,Wisconsin
449,New Ulm,Texas
450,Mansfield,Texas
451,Downsville,Wisconsin
452,Whitesboro,New York
453,Bromley,Kentucky
454,Swartz Creek,Michigan
455,South Sarasota,Florida
456,Saranac Lake,New York
457,Bellerive,Missouri
458,Rochester,Michigan
459,Kingston,Pennsylvania
460,Melbourne Village,Florida
461,Moncks Corner,South Carolina
462,Pennsville,New Jersey
463,McLean,Virginia
464,Huntsville,Utah
465,Georgetown,Connecticut
466,Massapequa Park,New York
467,Lake Park,Georgia
468,Hopewell Junction,New York
469,Danville,Pennsylvania
470,Pemberwick,Connecticut
471,Fulton,Missouri
472,Riverview,Delaware
473,Wheatland,Iowa
474,Franklin Park,Pennsylvania
475,Oxford,Mississippi
476,Salem,New Hampshire
477,Bendon,Michigan
478,South Cleveland,Tennessee
479,Willcox,Arizona
480,Southport,Indiana
481,East Brookfield,Massachusetts
482,Third Lake,Illinois
483,River Bend,North Carolina
484,West Baraboo,Wisconsin
485,Yonkers,New York
486,Greenfield,Indiana
487,Lexington,Massachusetts
488,Baltimore,Maryland
489,Alta Sierra,California
490,Dawson,Texas
491,Earlimart,California
492,Redding,California
493,Bartlett,Illinois
494,Milltown,New Jersey
495,Daytona Beach,Florida
496,East Merrimack,New Hampshire
497,Carl,Georgia
498,Boling,Texas
499,Yates City,Illinois
500,Fort Valley,Georgia
501,Watertown Town,Massachusetts
502,Aurora,Illinois
503,Trinity,Alabama
504,Goodings Grove,Illinois
505,Millersville,Maryland
506,Oregon City,Oregon
507,Midlothian,Texas
508,Montgomeryville,Pennsylvania
509,East Porterville,California
510,Lake City,Minnesota
511,Watsonville,California
512,West End-Cobb Town,Alabama
513,Missouri City,Texas
514,Coldstream,Ohio
515,Henefer,Utah
516,Bemus Point,New York
517,Brenham,Texas
518,Yorkshire,Virginia
519,Muskegon Heights,Michigan
520,Bellefonte,Pennsylvania
521,Urbana,Maryland
522,University Place,Washington
523,Greenfield,Massachusetts
524,West Bridgewater,Massachusetts
525,Centreville,Maryland
526,Wesson,Mississippi
527,Sandpoint,Idaho
528,Harvey Cedars,New Jersey
529,Bullard,Texas
530,Valley Forge,Tennessee
531,Roy,Utah
532,Trinity,Florida
533,Oak Park Heights,Minnesota
534,Portage,Pennsylvania
535,Bluffdale,Utah
536,Wrightsville,Arkansas
537,Rosalia,Kansas
538,West Union,South Carolina
539,Blaine,Tennessee
540,San Gabriel,California
541,Perham,Minnesota
542,Wading River,New York
543,Winchester,Nevada
544,Sunnyland,Illinois
545,Anderson Mill,Texas
546,Fairmont,West Virginia
547,Fenton,Michigan
548,Rockville,Maryland
549,Brian Head,Utah
550,San Miguel,California
551,Gilroy,California
552,Whitehall,Pennsylvania
553,Milford,New York
554,Palmetto,Georgia
555,Morristown,Indiana
556,Dilley,Oregon
557,Mill Creek East,Washington
558,Webster,Massachusetts
559,Clarks Green,Pennsylvania
560,Windsor Heights,Iowa
561,Reading,Massachusetts
562,Glendale,California
563,Apollo Beach,Florida
564,West Liberty,Iowa
565,Frankfort,New York
566,Kingston,Rhode Island
567,Bee Ridge,Florida
568,Telford,Pennsylvania
569,Tillmans Corner,Alabama
570,Bairdford,Pennsylvania
571,San Juan,Texas
572,McLean,New York
573,Highlands-Baywood Park,California
574,Clearlake Riviera,California
575,Dubuque,Iowa
576,Saraland,Alabama
577,Clearwater,Florida
578,Kaneville,Illinois
579,Rice,Minnesota
580,Leopolis,Wisconsin
581,Nanakuli,Hawaii
582,Beekman,New York
583,Anderson Island,Washington
584,Silverdale,Pennsylvania
585,Ware,Massachusetts
586,Blandford,Massachusetts
587,Emerson,New Jersey
588,La Fontaine,Indiana
589,Pea Ridge,Alabama
590,Hannahs Mill,Georgia
591,Crosspointe,Virginia
592,Caldwell,Texas
593,East Pasadena,California
594,Rineyville,Kentucky
595,Onalaska,Wisconsin
596,Brent,Alabama
597,Kingstown,Maryland
598,Mounds View,Minnesota
599,Moorefield,Virginia
600,Philadelphia,Pennsylvania
601,Glendora,California
602,Kasson,Minnesota
603,Cinnamon Lake,Ohio
604,Mercerville,New Jersey
605,Gotha,Florida
606,Longville,Minnesota
607,Pine Brook Hill,Colorado
608,Arroyo Seco,New Mexico
609,Framingham,Massachusetts
610,Baytown,Texas
611,Spokane Valley,Washington
612,Silver Lake,Ohio
613,Plano,Illinois
614,Gallatin,New York
615,Henniker,New Hampshire
616,Sun City,California
617,Glen Allen,Virginia
618,Leesport,Pennsylvania
619,Spanish Fort,Alabama
620,Stella,Missouri
621,Kirkwood,New York
622,Great Neck Gardens,New York
623,Goehner,Nebraska
624,Barker,New York
625,Westford,Massachusetts
626,El Cerrito,California
627,Carter Lake,Iowa
628,Monte Rio,California
629,Huron,Ohio
630,Redmond,Washington
631,Summerlin South,Nevada
632,Truro,Iowa
633,Oildale,California
634,Wanaque,New Jersey
635,Granger,Indiana
636,Reno,Nevada
637,Kemp,Texas
638,Dyersburg,Tennessee
639,Morrison,Tennessee
640,Milford,Connecticut
641,Newfield,New Jersey
642,Pittston,Pennsylvania
643,Newton,Iowa
644,Venetian Village,Illinois
645,Waxahachie,Texas
646,Shelburn,Indiana
647,Panther Valley,New Jersey
648,East Wenatchee,Washington
649,Masontown,Pennsylvania
650,Ambler,Pennsylvania
651,Paulsboro,New Jersey
652,Forsgate,New Jersey
653,Fairfield Glade,Tennessee
654,Park Center,Colorado
655,Avon,Pennsylvania
656,Hazel Dell,Washington
657,Hayden,Idaho
658,Flora,Indiana
659,Madison,North Carolina
660,Castle Pines North,Colorado
661,St. Joseph,Michigan
662,Viera West,Florida
663,Southport,Connecticut
664,Las Cruces,New Mexico
665,Montclair,New Jersey
666,Ocean Shores,Washington
667,Housatonic,Massachusetts
668,Wilmot,Wisconsin
669,Mayflower,Arkansas
670,Fernan Lake Village,Idaho
671,Minisink,New York
672,Bellingham,Massachusetts
673,Dallas,Texas
674,Palm Beach Gardens,Florida
675,Livingston,New York
676,Berwyn,Pennsylvania
677,Briarcliff Manor,New York
678,Richmond,Texas
679,Wonder Lake,Illinois
680,Bidwell,Ohio
681,Circleville,Kansas
682,Steilacoom,Washington
683,Modesto,California
684,Hacienda Heights,California
685,Round Hill Village,Nevada
686,Norwood Young America,Minnesota
687,St. Stephens,North Carolina
688,Frewsburg,New York
689,Anna Maria,Florida
690,Brock Hall,Maryland
691,Klondike Corner,New Hampshire
692,Smithfield,Virginia
693,Llano,California
694,Forest Park,Georgia
695,Surfside Beach,South Carolina
696,Douglass Hills,Kentucky
697,Parkville,Missouri
698,Ocala Estates,Florida
699,Fresno,California
700,Highland Lakes,New Jersey
701,Norwood,Massachusetts
702,North Scituate,Massachusetts
703,Collinsville,Connecticut
704,La Joya,Texas
705,Casselberry,Florida
706,Rio Bravo,Texas
707,Westvale,New York
708,Fleming Island,Florida
709,Lake Clarke Shores,Florida
710,Wawayanda,New York
711,McComb,Ohio
712,Walton,Kentucky
713,Elk Point,South Dakota
714,Lansford,Pennsylvania
715,Sumner,Washington
716,Bloomingdale,New Jersey
717,Bithlo,Florida
718,Bancroft,Michigan
719,Dunstable,Massachusetts
720,Rensselaer,Indiana
721,Walhalla,South Carolina
722,Keowee Key,South Carolina
723,Rancho Santa Margarita,California
724,Ahwahnee,California
725,Riesel,Texas
726,Lebanon,Missouri
727,Clinton,Tennessee
728,Ketchum,Idaho
729,Wapato,Washington
730,Borden,Indiana
731,Kearny,New Jersey
732,Tavares,Florida
733,Lockhart,Texas
734,Hopkinton,Rhode Island
735,Chumuckla,Florida
736,Shoreview,Minnesota
737,Tukwila,Washington
738,SeaTac,Washington
739,Baldwyn,Mississippi
740,Syracuse,New York
741,Hackberry,Texas
742,Edgewood,Maryland
743,Leesburg,Florida
744,Lake Como,New Jersey
745,Winooski,Vermont
746,Beaverton,Oregon
747,Monongahela,Pennsylvania
748,Odessa,Texas
749,Lansdowne,Virginia
750,DeBary,Florida
751,Meadows Place,Texas
752,Euclid,Ohio
753,Lake Norman of Iredell,North Carolina
754,State Center,Iowa
755,Midland,Pennsylvania
756,Courtland,Alabama
757,Corunna,Michigan
758,Marshfield,Massachusetts
759,Sienna,Texas
760,Borger,Texas
761,Hialeah Gardens,Florida
762,Uintah,Utah
763,Bellmawr,New Jersey
764,Veazie,Maine
765,Krum,Texas
766,Morton,Pennsylvania
767,Drain,Oregon
768,Greenup,Illinois
769,Oakmont,Pennsylvania
770,Perry,Kansas
771,Madera,California
772,Big River,California
773,Botkins,Ohio
774,Noank,Connecticut
775,River Oaks,Texas
776,Carl Junction,Missouri
777,Ryland Heights,Kentucky
778,West Easton,Pennsylvania
779,Farmington,Utah
780,North Las Vegas,Nevada
781,Ashland,Oregon
782,Ellenboro,North Carolina
783,Myerstown,Pennsylvania
784,Penfield,New York
785,Hanamaulu,Hawaii
786,Yale,Michigan
787,North Terre Haute,Indiana
788,Crystal Beach,New York
789,Pomona,California
790,Lake Summerset,Illinois
791,Kahaluu,Hawaii
792,Smithville,Texas
793,Saginaw,Missouri
794,Farmers Branch,Texas
795,Broadway,North Carolina
796,South Yarmouth,Massachusetts
797,Pickerington,Ohio
798,Waitsfield,Vermont
799,Box Elder,South Dakota
800,Neptune Beach,Florida
801,Lytle Creek,California
802,North Madison,Ohio
803,Franklin Park,New Jersey
804,Atco,New Jersey
805,Wichita Falls,Texas
806,Homer,Illinois
807,Arp,Texas
808,Campbellsburg,Kentucky
809,Spring Valley Village,Texas
810,Bolinas,California
811,Ishpeming,Michigan
812,Northvale,New Jersey
813,Oswegatchie,New York
814,Hermitage,Pennsylvania
815,Ames Lake,Washington
816,Lebanon,Indiana
817,Easley,South Carolina
818,Sumas,Washington
819,Stanford,Illinois
820,Laguna Beach,Florida
821,Ridgeland,Mississippi
822,Colleyville,Texas
823,Saybrook-on-the-Lake,Ohio
824,Mills River,North Carolina
825,Gray,Tennessee
826,Roscoe,South Dakota
827,Smith River,California
828,Kidder,Missouri
829,Carlton,New York
830,Cypress,California
831,Decatur,Georgia
832,Rockford,Michigan
833,Osakis,Minnesota
834,Port Ewen,New York
835,Johnston,South Carolina
836,Sleepy Hollow,Illinois
837,Newman,California
838,Union City,California
839,Hawthorne,New York
840,North Vacherie,Louisiana
841,Wareham Center,Massachusetts
842,Bensville,Maryland
843,Cutler Bay,Florida
844,Anderson,Indiana
845,Kilauea,Hawaii
846,Berrien Springs,Michigan
847,Land O'Lakes,Florida
848,Hereford,Texas
849,Pea Ridge,West Virginia
850,North Plainfield,New Jersey
851,Bonita,California
852,Harleysville,Pennsylvania
853,Dickinson,New York
854,Westborough,Massachusetts
855,Boutte,Louisiana
856,Owosso,Michigan
857,Rose Hills,California
858,La Porte,Indiana
859,Stanton,California
860,Wilmington,Delaware
861,Winfield,Kansas
862,Ensley,Florida
863,Hudson,Michigan
864,Moses Lake North,Washington
865,Ojus,Florida
866,Nappanee,Indiana
867,New Bern,North Carolina
868,Hallam,Nebraska
869,Milton,Massachusetts
870,Oklahoma City,Oklahoma
871,Dexter,Oregon
872,Bel Air South,Maryland
873,St. Helens,Oregon
874,Atlanta,Illinois
875,Roseburg North,Oregon
876,Fruit Cove,Florida
877,Goldstream,Alaska
878,Old Forge,New York
879,Prescott,Arizona
880,West Allis,Wisconsin
881,Enola,Pennsylvania
882,Kentwood,Louisiana
883,Princeton,North Carolina
884,Fitchburg,Massachusetts
885,Calcutta,Ohio
886,Charleroi,Pennsylvania
887,Suwanee,Georgia
888,Perry Heights,Ohio
889,Thornville,Ohio
890,Oakdale,California
891,Lake Shore,Maryland
892,Franklin,Texas
893,Steely Hollow,Oklahoma
894,East Bloomfield,New York
895,Bridgewater,Virginia
896,Spartansburg,Pennsylvania
897,Fort Ashby,West Virginia
898,Long Beach,Mississippi
899,Fort Mitchell,Kentucky
900,Woodstock,Illinois
901,Muncie,Indiana
902,Thomasville,North Carolina
903,Denver,North Carolina
904,Doraville,Georgia
905,Ash Flat,Arkansas
906,Salt Lake City,Utah
907,Riverside,Pennsylvania
908,Phoenix,Oregon
909,Chappaqua,New York
910,Washington,New Jersey
911,Wildwood,Tennessee
912,Brookfield Ma,Massachusetts
913,Lake Arbor,Maryland
914,Sheboygan,Wisconsin
915,Bemiss,Georgia
916,Glenwood Landing,New York
917,Lyons,New York
918,Farmville,North Carolina
919,Pen Argyl,Pennsylvania
920,Sandwich,Massachusetts
921,Eagleton Village,Tennessee
922,Phillipsburg,Ohio
923,Bonadelle Ranchos,California
924,Ridgefield,Washington
925,Watertown,New York
926,Hutchinson Island South,Florida
927,Chicago Heights,Illinois
928,Sunnyside,Georgia
929,Bismarck,North Dakota
930,Sterling,Massachusetts
931,Allentown,Pennsylvania
932,North Branch,Michigan
933,Vadnais Heights,Minnesota
934,Barbourmeade,Kentucky
935,Clewiston,Florida
936,Martin,Tennessee
937,Oak Ridge North,Texas
938,Winchester,Virginia
939,Sulphur,Louisiana
940,Kingstowne,Virginia
941,Escatawpa,Mississippi
942,Alpharetta,Georgia
943,Baker,Louisiana
944,La Crescenta-Montrose,California
945,Londontowne,Maryland
946,Fountainhead-Orchard Hills,Maryland
947,Warwick,Georgia
948,Jamestown West,New York
949,Heath Springs,South Carolina
950,Carson,Iowa
951,Vails Gate,New York
952,Atlantis,Florida
953,Valley Grove,West Virginia
954,Levittown,Pennsylvania
955,Lenoir,North Carolina
956,Clarkstown,New York
957,St. Anthony,Minnesota
958,Leisure Village,New Jersey
959,Sheridan,California
960,Fox Crossing,Wisconsin
961,Diablo Grande,California
962,Windsor,Illinois
963,Taylorsville,Georgia
964,Pocono Woodland Lakes,Pennsylvania
965,Kerman,California
966,Lyons,New Jersey
967,Schoeneck,Pennsylvania
968,Badger,Alaska
969,Port Barrington,Illinois
970,Midland,Washington
971,Nogales,Arizona
972,McGaheysville,Virginia
973,Fair Lakes,Virginia
974,Bent Creek,North Carolina
975,Solana Beach,California
976,Crestwood,Missouri
977,Portland,Michigan
978,Pike Creek Valley,Delaware
979,East Bridgewater,Massachusetts
980,Dooms,Virginia
981,Joplin,Missouri
982,Harrisonburg,Virginia
983,Medford,Minnesota
984,Amherst Junction,Wisconsin
985,San Carlos,California
986,Wamego,Kansas
987,Lakeland North,Washington
988,Pukalani,Hawaii
989,Federal Way,Washington
990,Santa Clara,California
991,Lewisport,Kentucky
992,Delta,Pennsylvania
993,Pinon Hills Estates,California
994,Aquasco,Maryland
995,Dillon,Colorado
996,Navarre Beach,Florida
997,Pell Lake,Wisconsin
998,Lake Sarasota,Florida
999,Hannibal,New York
1000,Pine Hills,Florida
1001,Huntington,West Virginia
1002,Fredonia,New York
1003,Somerset,Massachusetts
1004,Uniontown,Ohio
1005,St. Leonard,Maryland
1006,North Palm Beach,Florida
1007,Woodbury,Minnesota
1008,Greencastle,Pennsylvania
1009,Rodney Village,Delaware
1010,Hockessin,Delaware
1011,Minerva,Ohio
1012,Timberlane,Illinois
1013,Cadott,Wisconsin
1014,Bolivar,West Virginia
1015,Calistoga,California
1016,Cortez,Florida
1017,Waverly,Alabama
1018,Emmett,Idaho
1019,Wilmington,Illinois
1020,Kiowa,Oklahoma
1021,Edison,California
1022,Kennesaw,Georgia
1023,Niagara Falls,New York
1024,Mason Neck,Virginia
1025,Granby,Massachusetts
1026,Seabrook,Maryland
1027,Cascades,Virginia
1028,Bethel,Ohio
1029,Victor,Idaho
1030,Piedmont,West Virginia
1031,Chatsworth,Illinois
1032,McDonough,Georgia
1033,North Walpole,New Hampshire
1034,Central City,Iowa
1035,Coralville,Iowa
1036,Olney,Maryland
1037,Upper Greenwood Lake,New Jersey
1038,Riverdale,Georgia
1039,Sharon,Connecticut
1040,Lordstown,Ohio
1041,Hamlin,New York
1042,Richmond,Kansas
1043,Hercules,California
1044,Motley,Virginia
1045,Philadelphia,Tennessee
1046,Young,Arizona
1047,Flat Rock,North Carolina
1048,Pawnee,Illinois
1049,Montague,Michigan
